,Timestamp,F1_415nm,F2_445nm,F3_480nm,F4_515nm,F5_555nm,F6_590nm,F7_630nm,F8_680nm,Clear,NIR,LED
0,1685332468.069173,5525,5443,9663,2598,3146,1885,7666,568,4892,9804,460
1,1685332468.369173,1195,9171,5127,7507,2566,2487,325,5704,7605,8204,470
2,1685332468.669173,348,7133,1618,6654,3468,1415,8010,1313,7474,7121,530
3,1685332468.9691732,7413,8483,9957,5573,2266,3790,7790,4141,6550,6399,940
4,1685332469.2691731,9475,2366,3198,4766,6572,5179,5333,2161,6474,8585,580
5,1685332469.569173,9592,3324,604,2167,7471,7991,3683,5807,2885,8146,600
6,1685332469.869173,3602,2717,6784,5295,8410,320,1724,7860,8307,8933,633
7,1685332470.169173,8214,9363,2946,6466,3479,1368,9729,7389,2486,6724,670
8,1685332470.4691732,3960,2116,1214,8767,5063,4573,2139,8989,7641,3150,415
9,1685332470.7691731,2802,5683,5353,4306,4257,479,2318,4312,7271,317,460
10,1685332471.069173,972,1558,5411,816,4669,200,2980,5246,7028,6746,470
11,1685332471.369173,5942,5448,5484,9682,4510,1726,2200,9004,8930,8039,530
12,1685332471.669173,8675,3327,4471,107,2296,6555,7681,8523,7689,9829,940
13,1685332471.9691732,5747,6311,197,8297,6292,2707,3766,1240,1404,5868,580
14,1685332472.2691731,9039,6596,4619,5097,1627,4411,4904,7700,9744,915,600
15,1685332472.569173,7574,7638,1656,2326,6876,4305,1428,2537,9592,2285,633
16,1685332472.869173,4755,7305,6293,3829,5807,3615,9131,4165,8541,5060,670
17,1685332473.169173,1705,164,5637,6353,868,5404,4495,8033,8578,3039,415
18,1685332473.4691732,1600,3770,3410,4487,1441,1104,5748,6451,2186,9603,460
19,1685332473.7691731,929,6249,4294,3082,8772,4302,2430,9250,3404,9001,470
20,1685332474.069173,288,5591,5685,9144,8816,5543,9505,656,798,5098,530
21,1685332474.369173,892,4773,3436,7778,2104,9132,1294,4082,6222,101,940
22,1685332474.669173,4767,3809,7338,3380,3618,1394,4891,7411,5783,798,580
23,1685332474.9691732,5181,6491,5539,1796,2406,2883,8656,5041,7611,9985,600
24,1685332475.2691731,9426,7437,6597,8867,7008,8777,6803,3249,2191,1691,633
25,1685332475.569173,9750,789,4882,6483,3299,664,6633,9150,3553,1098,670
26,1685332475.869173,7217,7572,4886,9363,1791,1017,3269,1974,2750,1037,415
27,1685332476.169173,5148,5336,1654,7686,1630,1392,702,5764,3300,6042,460
28,1685332476.4691732,5439,9739,8110,7126,6728,4945,3901,3417,3152,5927,470
29,1685332476.7691731,4552,8051,4115,2604,6312,3075,4903,7051,7248,6380,530
30,1685332477.069173,9495,1726,3859,453,2364,7410,5199,8064,6966,8557,940
31,1685332477.369173,4198,1744,4286,3448,3176,6748,6930,9132,6052,7604,580
32,1685332477.669173,1837,6908,6277,965,8480,9743,5420,8857,3148,7631,600
33,1685332477.9691732,192,311,6405,5031,6473,1498,5979,9989,7268,8427,633
34,1685332478.2691731,5808,6287,3390,8526,8546,4762,1128,197,361,2415,670
35,1685332478.569173,4835,9087,6796,8779,9020,6125,2035,6504,4097,3388,415
36,1685332478.869173,2514,4209,3878,4873,2285,4004,7054,6745,5808,5042,460
37,1685332479.169173,4840,5652,2189,9504,4417,6682,9407,9966,3725,6397,470
38,1685332479.4691732,3179,5098,8233,1326,7630,9506,5405,8778,9869,7180,530
39,1685332479.7691731,7472,7272,6063,4906,8247,4255,6151,304,8060,8046,940
40,1685332480.069173,2168,757,7508,5803,7025,1141,9082,928,8421,9232,580
41,1685332480.369173,3777,8102,4262,1865,1938,2178,7230,7419,9759,5600,600
42,1685332480.669173,7123,3994,9025,6663,8789,4472,2914,5950,3633,3210,633
43,1685332480.9691732,9562,531,2065,1915,9211,2698,3943,4391,432,6193,670
44,1685332481.2691731,9651,719,294,1525,6726,1250,5994,5278,5059,8416,415
45,1685332481.569173,631,3262,2257,3836,5127,9209,4770,6349,5784,9990,460
46,1685332481.869173,5917,8368,8519,3636,9059,3908,6880,4657,5899,4694,470
47,1685332482.169173,1540,4354,2610,7092,6212,5187,8306,5463,4751,3002,530
48,1685332482.4691732,1621,241,8261,102,5904,4580,2858,913,5903,1815,940
49,1685332482.7691731,8918,7242,2338,2381,8703,8490,1468,9805,3032,6022,580
50,1685332483.069173,4626,6993,544,7199,3228,1424,3814,5050,8467,9789,600
51,1685332483.369173,3497,6873,2482,2499,8795,9519,5504,1402,8199,1975,633
52,1685332483.669173,2372,6123,4483,9279,4384,1240,8997,222,3677,6050,670
53,1685332483.9691732,1036,5016,5168,5502,7034,2392,7702,5272,2962,2418,415
54,1685332484.2691731,7663,1682,5732,6792,4944,5800,2053,589,2158,3119,460
55,1685332484.569173,2547,348,9874,5015,9914,474,633,9768,7892,3645,470
56,1685332484.869173,8544,9163,8583,5524,998,8439,3427,1602,4897,3549,530
57,1685332485.169173,2009,7697,3475,665,126,6564,8189,3649,8582,5466,940
58,1685332485.4691732,8146,9100,1579,3005,9052,7545,9845,610,9859,2543,580
59,1685332485.7691731,2910,1337,7071,9700,9367,1730,1353,8047,2869,8409,600
60,1685332486.069173,7591,3274,6469,5696,526,7436,1312,8414,2786,4913,633
61,1685332486.369173,8113,8002,1101,2814,2186,564,2977,696,4043,3278,670
62,1685332486.669173,5575,3165,9728,396,5103,4786,6334,5609,9605,8365,415
63,1685332486.9691732,7961,3945,4515,1526,8037,3478,4619,1993,3510,2435,460
64,1685332487.2691731,9067,3936,2996,3604,8674,3819,7866,5361,3087,4556,470
65,1685332487.569173,5479,6931,4207,8957,200,2622,3024,2619,2694,9960,530
66,1685332487.869173,7511,2543,5288,7688,3965,6594,1831,2023,1862,4152,940
67,1685332488.169173,8558,5567,1334,1996,6996,912,6265,2800,8057,5393,580
68,1685332488.4691732,5150,2867,6885,7936,5917,5859,8259,7473,5436,5205,600
69,1685332488.7691731,2077,570,465,5866,7063,9197,9643,2267,2416,4685,633
70,1685332489.069173,2731,8728,2628,9894,5820,6194,8811,8096,475,1329,670
71,1685332489.369173,9157,5065,2078,3197,9356,2002,4975,2351,3006,8545,415
72,1685332489.669173,1293,5112,586,5364,6448,8046,3926,206,689,3155,460
73,1685332489.9691732,3959,6538,5101,6691,5441,7859,1590,1736,4609,5812,470
74,1685332490.2691731,1864,9016,7423,598,8853,1472,5747,9054,9638,2098,530
75,1685332490.569173,6365,2485,4990,772,3284,587,3334,3343,7444,3009,940
76,1685332490.869173,6446,1097,9997,8620,1015,7233,8376,2543,5603,2265,580
77,1685332491.169173,1335,564,9027,872,192,7962,5017,8667,5573,3331,600
78,1685332491.4691732,8950,8815,9960,8301,6506,8880,4317,282,9715,5535,633
79,1685332491.7691731,4344,5949,4334,5290,4817,5946,1014,5996,1438,3904,670
80,1685332492.069173,1449,5326,5018,9425,3206,6165,2481,1863,6442,3615,415
81,1685332492.369173,8650,4528,4245,2183,5790,4500,956,6754,9283,123,460
82,1685332492.669173,8855,3534,3165,6128,6111,1489,9507,1798,3686,3570,470
83,1685332492.9691732,2521,4281,7781,6735,4534,222,548,5269,8340,5649,530
84,1685332493.2691731,1124,1360,4911,6564,1484,9126,7679,315,418,1407,940
85,1685332493.569173,6968,5436,7276,5625,4632,1625,933,6542,2222,836,580
86,1685332493.869173,2884,5960,6780,6079,740,7380,1464,596,7044,1036,600
87,1685332494.169173,4200,6684,9067,4736,6160,7743,1919,5651,3908,3032,633
88,1685332494.4691732,3652,5091,2144,8206,7702,2855,8211,6244,3215,1714,670
89,1685332494.7691731,3997,9562,9910,6782,1500,1202,1483,4978,694,4506,415
90,1685332495.069173,4011,423,8380,8875,2656,2326,8333,7659,5034,4093,460
91,1685332495.369173,8514,6490,2843,3288,8736,5615,5221,8785,5575,2242,470
92,1685332495.669173,1256,8658,9017,5398,315,4538,4760,1604,5863,2976,530
93,1685332495.9691732,7915,2271,4556,8060,9218,3616,7917,7287,1670,287,940
94,1685332496.2691731,2190,6009,5514,3364,8649,8863,9174,6548,7512,4170,580
95,1685332496.569173,1038,7111,1148,8588,3573,5558,3558,6416,9833,1878,600
96,1685332496.869173,4491,2121,8389,9732,1383,4868,8938,9712,3167,1518,633
97,1685332497.169173,6861,517,4636,8220,6487,4862,628,6551,4607,4267,670
98,1685332497.4691732,7405,7778,7997,9048,1167,8726,2110,9878,2328,1139,415
99,1685332497.7691731,2529,8171,3760,8141,6334,4100,7071,8411,5912,5512,460
100,1685332498.069173,3588,8006,1027,2901,3365,672,1212,7151,1735,2349,470
101,1685332498.369173,9153,1713,6650,548,1022,2977,9970,2852,2645,192,530
102,1685332498.669173,7813,7487,7561,7071,3610,8904,4467,5083,6489,9437,940
103,1685332498.9691732,8280,2832,1297,4487,875,304,7691,9448,6826,2390,580
104,1685332499.2691731,7554,9785,8791,7620,2964,1374,8033,6409,5110,7686,600
105,1685332499.569173,5230,9537,9874,9376,6906,344,5332,3247,1966,2491,633
106,1685332499.869173,2777,5784,7242,684,4664,3347,9390,5111,1438,6955,670
107,1685332500.169173,6884,5585,1028,1622,9728,9408,514,2554,1204,8409,415
108,1685332500.4691732,7110,8223,4090,4527,3034,184,7831,2076,9596,4836,460
109,1685332500.7691731,8687,8444,7196,537,8445,7615,9644,8243,278,1622,470
110,1685332501.069173,9948,9179,3615,4823,1309,303,605,7756,7721,7430,530
111,1685332501.369173,5916,2261,3104,7602,7643,5383,4912,7180,9251,2072,940
112,1685332501.669173,8848,9962,7585,7715,1166,9578,1776,4299,8140,9579,580
113,1685332501.9691732,7495,1600,4920,3156,3339,3637,6968,9589,2221,3634,600
114,1685332502.2691731,2497,1433,256,5612,8522,6630,6962,9915,2936,7792,633
115,1685332502.569173,5651,4922,8130,6031,9229,4423,1016,193,5015,5202,670
116,1685332502.869173,4750,8147,7569,525,9518,8600,1228,2259,723,8487,415
117,1685332503.169173,9347,8807,7962,7062,1675,489,2720,7822,4055,9695,460
118,1685332503.4691732,7955,3624,9008,3904,7390,1618,7931,3089,4292,8384,470
119,1685332503.7691731,5321,5769,280,3907,4724,3989,4352,7295,5226,6916,530
120,1685332504.069173,3893,6981,8278,1366,674,7697,395,4403,5735,3359,940
121,1685332504.369173,1720,9601,1073,201,8059,4890,2501,8059,993,5537,580
122,1685332504.669173,1427,1335,2275,4720,8511,2241,3613,274,5719,8545,600
123,1685332504.9691732,830,9398,3581,8792,408,4422,9775,1628,6408,8351,633
124,1685332505.2691731,2525,4567,4991,1029,6213,9044,5072,5946,1517,8828,670
125,1685332505.569173,1955,3024,4674,3978,2833,6670,9252,2166,7008,3754,415
126,1685332505.869173,2181,7582,2908,5956,6545,9498,4915,3352,8235,4773,460
127,1685332506.169173,486,5382,9360,3159,7017,4648,3975,9548,1346,6282,470
128,1685332506.4691732,2720,3071,4960,194,9862,3589,4729,8449,2330,337,530
129,1685332506.7691731,1419,4722,2223,6383,7049,1507,4508,8210,5795,8939,940
130,1685332507.069173,8298,4994,7422,4698,2523,6897,6785,3084,3341,5487,580
131,1685332507.369173,2922,1791,5978,2719,924,134,9114,4287,9794,8794,600
132,1685332507.669173,1863,2399,9717,3379,6194,5210,4787,4159,4862,4592,633
133,1685332507.9691732,9189,3818,9995,1198,7249,1257,7208,6867,9400,998,670
134,1685332508.2691731,2734,8423,5708,7347,6618,9879,6511,1324,565,4185,415
135,1685332508.569173,8843,3366,6810,3358,2797,2996,822,8744,2508,3642,460
136,1685332508.869173,9086,990,4740,4142,1118,9735,1373,1985,5865,4830,470
137,1685332509.169173,760,9624,2085,6867,4837,4133,1869,5142,3393,8382,530
138,1685332509.4691732,2494,1354,7402,1316,3012,157,1744,8092,155,5026,940
139,1685332509.7691731,1351,1945,9522,3213,2101,7423,5641,9316,8237,4499,580
140,1685332510.069173,5310,629,3402,6064,6645,1736,8348,848,6339,6632,600
141,1685332510.369173,8093,5027,8637,462,3978,2232,3520,5078,909,9379,633
142,1685332510.669173,5500,9758,7879,2083,6263,657,5924,714,3569,984,670
143,1685332510.9691732,9636,9370,8073,6357,6050,7196,8818,5111,6137,933,415
144,1685332511.2691731,1373,4781,5034,4232,9435,4355,2782,6522,7090,374,460
145,1685332511.569173,4731,4031,4781,8607,7480,2654,7236,2461,3160,3439,470
146,1685332511.869173,8339,7163,7562,9716,373,6406,3922,2152,7493,865,530
147,1685332512.169173,8487,3747,9754,7538,1621,7847,8460,9454,3888,3885,940
148,1685332512.4691732,1069,5307,3955,1268,6183,4962,8717,9043,9713,6118,580
149,1685332512.7691731,5187,3515,3018,2456,2748,5896,9841,5317,6403,6056,600
150,1685332513.069173,4926,4799,8303,6464,9154,149,7214,8378,4984,7956,633
151,1685332513.369173,7534,2295,9300,8116,6222,3693,5088,9284,618,1954,670
152,1685332513.669173,1842,171,5467,4113,4444,4400,6557,4042,4493,1135,415
153,1685332513.9691732,5505,6931,4997,7236,7760,4015,6638,1720,8316,8261,460
154,1685332514.2691731,2790,6451,2739,7988,5927,5680,4175,2765,6011,9754,470
155,1685332514.569173,5353,1897,7915,4117,7993,6492,7366,5596,7885,6376,530
156,1685332514.869173,2375,2707,960,2938,3175,3020,4449,9322,8772,4186,940
157,1685332515.169173,4778,424,6559,988,4686,792,4778,3063,4599,8848,580
158,1685332515.4691732,8824,9187,5662,5443,5570,5146,8345,8071,6086,9214,600
159,1685332515.7691731,9884,9606,1560,1399,5669,9909,5425,5084,758,1152,633
160,1685332516.069173,5108,4255,9572,6599,9459,8355,4608,999,4389,9359,670
161,1685332516.369173,9338,5157,2867,6573,2564,3729,6202,3314,5781,8402,415
162,1685332516.669173,882,654,5132,3684,4600,7670,2906,2421,6139,1349,460
163,1685332516.9691732,9941,605,4755,5667,1002,5976,6600,8279,3273,9731,470
164,1685332517.2691731,8862,9488,8443,7828,2263,5335,6656,1250,4120,8575,530
165,1685332517.569173,337,7659,8221,8848,9634,7182,4670,3796,5795,4300,940
166,1685332517.869173,9417,1943,5097,7496,4904,4373,8955,5485,8617,1786,580
167,1685332518.169173,6791,4560,2359,5015,9470,209,6308,2794,3782,810,600
168,1685332518.4691732,7637,2472,8855,3719,7036,2998,6145,4264,6889,9274,633
169,1685332518.7691731,693,7666,1733,983,4244,702,5061,9817,1563,8602,670
170,1685332519.069173,8838,5903,5149,5838,3517,2753,4324,7783,6813,8743,415
171,1685332519.369173,3317,169,8932,9986,4331,1570,3889,2712,655,5656,460
172,1685332519.669173,205,3478,7062,4745,1457,7949,7076,6842,1266,6412,470
173,1685332519.9691732,1360,3688,1123,443,7735,8519,1506,164,1852,7393,530
174,1685332520.2691731,6421,2050,5119,4293,3328,5509,6445,1862,4594,3781,940
175,1685332520.569173,1004,6498,9859,7803,7648,5294,251,2101,202,3149,580
176,1685332520.869173,1218,2783,7780,2651,3603,5005,4055,9193,3676,4239,600
177,1685332521.169173,4167,5808,6195,3253,5506,5492,7880,897,8189,1768,633
178,1685332521.4691732,5669,5430,2165,164,9628,148,652,1107,205,6410,670
179,1685332521.7691731,2926,9678,7571,7168,4420,4733,7162,9958,9379,6449,415
180,1685332522.069173,4434,5046,1684,3127,9672,5872,2375,3468,2774,747,460
181,1685332522.369173,4655,7516,5254,7624,8477,7703,9649,2137,1547,7773,470
182,1685332522.669173,9137,8770,4679,4929,1494,9825,9996,8363,2077,7968,530
183,1685332522.9691732,6258,1108,6087,6478,3197,7533,4923,7264,4625,1505,940
184,1685332523.2691731,6860,9281,6611,1995,9626,1655,1672,9379,9494,8512,580
185,1685332523.569173,8319,3722,8437,4277,9228,5031,1685,3199,9427,4541,600
186,1685332523.869173,3958,7274,7063,8533,9202,7111,3090,531,6599,7782,633
187,1685332524.169173,1790,9715,2651,2305,7562,1267,3466,1681,6464,7045,670
188,1685332524.4691732,5533,5164,2954,6925,4813,6897,9293,7894,7051,2757,415
189,1685332524.7691731,9883,206,3540,4569,9754,5945,1081,9696,8927,6064,460
190,1685332525.069173,4720,3641,6742,948,609,225,4312,8654,3830,5185,470
191,1685332525.369173,1916,1153,9765,9598,1784,8107,781,621,2237,9139,530
192,1685332525.669173,5245,929,3110,1072,8007,7507,5931,9619,3092,4103,940
193,1685332525.9691732,6527,3753,2521,6623,6994,4084,8829,3086,7678,7109,580
194,1685332526.2691731,2891,3015,8764,7792,3554,5803,517,8771,331,5571,600
195,1685332526.569173,4697,9943,4558,783,2353,6968,2051,3542,6233,2215,633
196,1685332526.869173,4264,8229,424,8956,7954,767,7226,4072,9029,9015,670
197,1685332527.169173,8229,7865,8381,7489,5433,2679,504,9537,8562,741,415
198,1685332527.4691732,8568,4575,5953,4597,8037,4128,9912,5306,8583,3254,460
199,1685332527.7691731,6109,3120,214,6363,8867,2174,6395,4803,3338,8065,470
200,1685332528.069173,4793,3176,3017,4058,6822,8064,6424,663,6477,4296,530
201,1685332528.369173,6472,9653,6386,2178,6249,9002,7409,8304,3922,7291,940
202,1685332528.669173,7938,3583,2168,113,4750,8895,6738,8898,3270,6548,580
203,1685332528.9691732,6424,6165,7266,6162,8364,3841,4079,8520,389,6199,600
204,1685332529.2691731,6074,5259,2311,1422,7664,641,9819,1652,2649,1014,633
205,1685332529.569173,724,8133,8921,9612,9656,6654,889,2934,7934,7150,670
206,1685332529.869173,6904,3954,5006,2746,7169,4561,8662,7078,1256,7084,415
207,1685332530.169173,3699,2373,7467,1298,8376,8773,5690,7109,1464,9211,460
208,1685332530.4691732,7426,1727,9956,4193,3184,3546,311,9816,2321,9649,470
209,1685332530.7691731,6756,8087,7677,9195,2691,7908,7755,8881,7325,6709,530
210,1685332531.069173,7132,5234,6536,6580,9522,6284,6513,3315,9619,3674,940
211,1685332531.369173,1058,3531,7472,3997,6291,4045,3606,974,9017,8075,580
212,1685332531.669173,2971,989,6306,6605,2887,409,223,851,5276,9659,600
213,1685332531.9691732,4264,4051,6332,2886,4513,3433,8652,4445,9373,7130,633
214,1685332532.2691731,6328,428,5862,9600,7148,5564,7768,5273,4056,4482,670
215,1685332532.569173,8032,2084,2936,8725,5109,5296,5316,215,7726,8416,415
216,1685332532.869173,3640,1678,2625,5230,1188,655,6384,5913,7968,858,460
217,1685332533.169173,8568,8638,5384,7727,9112,7291,1858,6120,5115,6552,470
218,1685332533.4691732,1854,8115,2657,5330,1607,8316,7297,3599,4213,810,530
219,1685332533.7691731,5948,6051,5669,4135,9567,6624,9957,4782,8867,9285,940
220,1685332534.069173,9583,7533,268,964,3571,4982,7374,2877,1594,3483,580
221,1685332534.369173,2741,6950,8775,9028,4074,9731,194,1422,9497,9381,600
222,1685332534.669173,3125,5606,2825,8191,2113,3131,3352,2692,1216,2555,633
223,1685332534.9691732,7674,7957,9433,4022,2587,8707,7302,1346,9036,431,670
224,1685332535.2691731,5629,5971,4972,8138,1914,8959,1308,8549,7267,7859,415
225,1685332535.569173,9854,8118,4079,5680,8401,1430,325,4283,1511,1151,460
226,1685332535.869173,7138,9888,5682,6428,9099,2547,2900,9964,5785,243,470
227,1685332536.169173,8276,8521,1497,6307,8358,6074,5480,2656,9523,6623,530
228,1685332536.4691732,9133,9841,1154,2735,1049,5009,8153,1619,7421,3464,940
229,1685332536.7691731,681,5878,4013,2522,3061,5436,5771,7739,6852,5045,580
230,1685332537.069173,7694,6276,9699,4363,2857,8538,7266,4104,4315,7789,600
231,1685332537.369173,7651,6526,9966,3548,7217,3928,5460,8221,3388,4000,633
232,1685332537.669173,2213,4652,2513,5008,7450,8397,3204,7958,7768,197,670
233,1685332537.9691732,702,3600,2376,5169,2717,7186,8667,8715,7386,430,415
234,1685332538.2691731,5401,3714,6380,8770,1165,7039,2877,680,4720,377,460
235,1685332538.569173,1171,6437,3438,3100,169,4108,9545,7515,2930,3717,470
236,1685332538.869173,9804,9969,4176,6223,4557,5412,6082,7931,7025,7116,530
237,1685332539.169173,8962,8829,7757,2893,6019,4298,224,8623,5983,3449,940
238,1685332539.4691732,8206,6537,6402,8272,8539,388,2737,9984,5426,8264,580
239,1685332539.7691731,3959,4475,8797,9221,7010,2195,767,1287,4487,3181,600
240,1685332540.069173,8995,7663,3388,3180,1684,7709,2069,7058,5834,2998,633
241,1685332540.369173,1977,3694,6092,6609,6615,2097,2293,8806,9016,4800,670
242,1685332540.669173,8501,8396,8960,6398,2992,5141,3735,8350,6961,6714,415
243,1685332540.9691732,637,6484,4719,5599,1958,3108,5034,9864,7643,3904,460
244,1685332541.2691731,6694,4752,285,5222,7971,5555,3237,6576,4985,9195,470
245,1685332541.569173,1247,8949,7229,2635,7046,3452,9037,9747,4779,4542,530
246,1685332541.869173,4450,4924,3986,2156,1782,6909,4976,6313,7337,4935,940
247,1685332542.169173,2672,102,3165,5119,1585,8244,2071,6661,9231,1853,580
248,1685332542.4691732,4819,6737,9857,8521,3300,8250,4285,7643,6344,4716,600
249,1685332542.7691731,8236,3807,8486,6563,2350,8122,483,7132,4118,8293,633
250,1685332543.069173,1493,486,3567,4417,6521,9048,1222,7658,7849,821,670
251,1685332543.369173,7279,5762,1803,2531,9306,699,4925,9612,4637,2297,415
252,1685332543.669173,6477,3143,6533,7455,5327,1024,1489,5753,4865,2546,460
253,1685332543.9691732,9859,7701,7315,8579,7606,151,6032,6691,8639,6493,470
