,LED,Timestamp (unix),ADC
0,415,1660195979427,6786
1,445,1660195979427,36830
2,480,1660195979427,11014
3,515,1660195979427,7340
4,555,1660195979427,7123
5,590,1660195979427,10925
6,630,1660195979427,5570
7,680,1660195979427,3450
10,415,1660195978811,6803
11,445,1660195978811,36924
12,480,1660195978811,11053
13,515,1660195978811,7363
14,555,1660195978811,7105
15,590,1660195978811,10900
16,630,1660195978811,5548
17,680,1660195978811,3440
20,415,1660195978194,6807
21,445,1660195978194,36896
22,480,1660195978194,11058
23,515,1660195978194,7364
24,555,1660195978194,7112
25,590,1660195978194,10912
26,630,1660195978194,5554
27,680,1660195978194,3445
30,415,1660195977573,6801
31,445,1660195977573,36881
32,480,1660195977573,11054
33,515,1660195977573,7358
34,555,1660195977573,7104
35,590,1660195977573,10904
36,630,1660195977573,5548
37,680,1660195977573,3444
40,415,1660195976955,6775
41,445,1660195976955,36801
42,480,1660195976955,11014
43,515,1660195976955,7331
44,555,1660195976955,7103
45,590,1660195976955,10886
46,630,1660195976955,5556
47,680,1660195976955,3442
50,415,1660195976458,6806
51,445,1660195976458,36962
52,480,1660195976458,11077
53,515,1660195976458,7368
54,555,1660195976458,7126
55,590,1660195976458,10941
56,630,1660195976458,5562
57,680,1660195976458,3456
60,415,1660195976449,6805
61,445,1660195976449,36952
62,480,1660195976449,11068
63,515,1660195976449,7364
64,555,1660195976449,7123
65,590,1660195976449,10943
66,630,1660195976449,5563
67,680,1660195976449,3455
70,415,1660195976448,6781
71,445,1660195976448,36886
72,480,1660195976448,11028
73,515,1660195976448,7335
74,555,1660195976448,7127
75,590,1660195976448,10949
76,630,1660195976448,5564
77,680,1660195976448,3455
80,415,1660195975346,6805
81,445,1660195975346,36959
82,480,1660195975346,11070
83,515,1660195975346,7365
84,555,1660195975346,7127
85,590,1660195975346,10949
86,630,1660195975346,5565
87,680,1660195975346,3457
90,415,1660195973796,6804
91,445,1660195973796,36943
92,480,1660195973796,11065
93,515,1660195973796,7359
94,555,1660195973796,7127
95,590,1660195973796,10944
96,630,1660195973796,5563
97,680,1660195973796,3457
100,415,1660195973793,6802
101,445,1660195973793,36909
102,480,1660195973793,11050
103,515,1660195973793,7352
104,555,1660195973793,7125
105,590,1660195973793,10943
106,630,1660195973793,5563
107,680,1660195973793,3456
110,415,1660195972021,6803
111,445,1660195972021,36899
112,480,1660195972021,11051
113,515,1660195972021,7351
114,555,1660195972021,7098
115,590,1660195972021,10892
116,630,1660195972021,5540
117,680,1660195972021,3441
120,415,1660195971404,6781
121,445,1660195971404,36793
122,480,1660195971404,11007
123,515,1660195971404,7324
124,555,1660195971404,7100
125,590,1660195971404,10902
126,630,1660195971404,5544
127,680,1660195971404,3444
130,415,1660195970786,6773
131,445,1660195970786,36855
132,480,1660195970786,11010
133,515,1660195970786,7326
134,555,1660195970786,7122
135,590,1660195970786,10929
136,630,1660195970786,5560
137,680,1660195970786,3450
140,415,1660195970169,6803
141,445,1660195970169,36879
142,480,1660195970169,11048
143,515,1660195970169,7345
144,555,1660195970169,7120
145,590,1660195970169,10929
146,630,1660195970169,5560
147,680,1660195970169,3454
150,415,1660195969549,6780
151,445,1660195969549,36824
152,480,1660195969549,11015
153,515,1660195969549,7329
154,555,1660195969549,7112
155,590,1660195969549,10910
156,630,1660195969549,5552
157,680,1660195969549,3447
160,415,1660195968931,6779
161,445,1660195968931,36820
162,480,1660195968931,11008
163,515,1660195968931,7330
164,555,1660195968931,7122
165,590,1660195968931,10934
166,630,1660195968931,5563
167,680,1660195968931,3451
170,415,1660195968315,6793
171,445,1660195968315,36904
172,480,1660195968315,11037
173,515,1660195968315,7342
174,555,1660195968315,7120
175,590,1660195968315,10928
176,630,1660195968315,5560
177,680,1660195968315,3450
180,415,1660195967698,6806
181,445,1660195967698,36916
182,480,1660195967698,11043
183,515,1660195967698,7349
184,555,1660195967698,7124
185,590,1660195967698,10938
186,630,1660195967698,5566
